id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
1,E849,"FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","Enf. endocrinas, nutricionales y metabólicas",1
2,C910,LEUCEMIA LINFOBLASTICA AGUDA,Neoplasias malignas (oncológico),1
3,C349,"TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
4,E840,FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES,"Enf. endocrinas, nutricionales y metabólicas",1
5,N258,OTROS TRASTORNOS RESULTANTES DE LA FUNCION TUBULAR RENAL ALTERADA,Enfermedades del sistema genitourinario,1
6,N168,TRASTORNOS RENALES TUBULOINTERSTICIALES EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Enfermedades del sistema genitourinario,1
7,C73X,TUMOR MALIGNO DE LA GLANDULA TIROIDES,Neoplasias malignas (oncológico),1
8,Q774,ACONDROPLASIA,Malformaciones congénitas,1
9,SIN CODIGO,SIN DIAGNOSTICO REPORTADO,SIN CAPITULO,0
10,E780,HIPERCOLESTEROLEMIA PURA,"Enf. endocrinas, nutricionales y metabólicas",1
11,D77X,OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Neoplasias benignas / Enf. de la sangre,1
12,Q850,NEUROFIBROMATOSIS (NO MALIGNA),Malformaciones congénitas,1
13,C900,MIELOMA MULTIPLE,Neoplasias malignas (oncológico),1
14,N189,"INSUFICIENCIA RENAL CRONICA, NO ESPECIFICADA",Enfermedades del sistema genitourinario,1
15,G35X,ESCLEROSIS MULTIPLE,Enfermedades del sistema nervioso,1
16,G710,DISTROFIA MUSCULAR,Enfermedades del sistema nervioso,1
17,Q613,"RINON POLIQUISTICO, TIPO NO ESPECIFICADO",Malformaciones congénitas,1
18,K768,OTRAS ENFERMEDADES ESPECIFICAS DEL HIGADO,Enfermedades del sistema digestivo,1
19,E848,FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES,"Enf. endocrinas, nutricionales y metabólicas",1
20,E876,HIPOPOTASMIA,"Enf. endocrinas, nutricionales y metabólicas",1
21,Q812,EPIDERMOLISIS BULLOSA DISTROFICA,Malformaciones congénitas,1
22,N158,OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES ESPECIFICADAS,Enfermedades del sistema genitourinario,1
23,D839,"INMUNODEFICIENCIA VARIABLE COMUN, NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
24,C945,MIELOFIBROSIS AGUDA,Neoplasias malignas (oncológico),1
25,Q612,"RINON POLIQUISTICO, TIPO ADULTO",Malformaciones congénitas,1
26,G241,DISTONIA IDIOPATICA FAMILIAR,Enfermedades del sistema nervioso,1
27,I200,ANGINA INESTABLE,Enfermedades del sistema circulatorio,1
28,C795,TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA,Neoplasias malignas (oncológico),1
29,D352,TUMOR BENIGNO DE LA HIPOFISIS,Neoplasias benignas / Enf. de la sangre,1
30,D849,"INMUNODEFICIENCIA, NO ESPECIFICADA",Neoplasias benignas / Enf. de la sangre,1
31,SIN CODIGO,ANESTESICO,SIN CAPITULO,1
